,FIPS,Text,Pred
334,-1.0,foreign forces officially ground afghanistan didn taliban state nato wasn allowed to ,1
335,11001.0,rcusadc refugeecongress johnslocum2 potus thank johnslocum2 work alsothank liking r ,1
336,11001.0,rcusadc refugeecongress johnslocum2 potus may empathy felt ukraine extend refugees ampmigrantsincl ,1
337,11001.0,refugeecongress refugees stateprm rcusadc may empathy felt ukraine extend refugees ampmigrantsincl ,1
338,11001.0,we made promise protect atrisk afghans now we must make voices heard tell congress finish reloca ,1
339,17031.0,this afghanistan ,1
340,24033.0,icymi recordhigh 53 afghans said want leave and proportionately more men than women ,1
341,24005.0,the hardest place morgan httpstcomwatpg3jb4 war military ad amazon ,1
342,11001.0,americasvoice may empathy felt ukraine extend refugees ampmigrantsincl those wdeep ties usa like ,1
343,11001.0,americasvoice may empathy felt ukraine extend refugees ampmigrantsincl those wdeep ties usa like ,1
344,11001.0,welcomewdignity americasvoice may empathy felt ukraine extend refugees ampmigrantsincl those wdeep ti ,1
